ISO 3166-2コード,所在都道府県,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,所在判明市区町村数,注釈,年月日
JP-01,北海道,2067,520,1,80,NA,2014-10-16
JP-02,青森県,246,335,6,21,NA,2014-10-16
JP-03,岩手県,30855,356,5,29,※1,2014-10-16
JP-04,宮城県,75493,1130,5,35,※1,2014-10-16
JP-05,秋田県,568,448,0,20,NA,2014-10-16
JP-06,山形県,4120,559,49,29,NA,2014-10-16
JP-07,福島県,74204,2657,NA,46,※2 ※1,2014-10-16
JP-08,茨城県,3558,740,38,42,NA,2014-10-16
JP-09,栃木県,2182,689,96,25,NA,2014-10-16
JP-10,群馬県,994,269,129,25,NA,2014-10-16
JP-11,埼玉県,4022,1508,32,57,NA,2014-10-16
JP-12,千葉県,1923,1594,33,46,NA,2014-10-16
JP-13,東京都,5871,1737,30,56,NA,2014-10-16
JP-14,神奈川県,2122,0,0,24,※1,2014-10-16
JP-15,新潟県,3965,170,61,28,NA,2014-10-16
JP-16,富山県,189,58,3,10,NA,2014-10-16
JP-17,石川県,291,52,4,11,NA,2014-10-16
JP-18,福井県,208,40,0,12,NA,2014-10-16
JP-19,山梨県,602,106,1,21,NA,2014-10-16
JP-20,長野県,901,164,0,41,NA,2014-10-16
JP-21,岐阜県,205,108,0,25,NA,2014-10-16
JP-22,静岡県,691,265,5,30,NA,2014-10-16
JP-23,愛知県,1020,154,0,43,NA,2014-10-16
JP-24,三重県,364,99,0,15,NA,2014-10-16
JP-25,滋賀県,154,81,0,14,NA,2014-10-16
JP-26,京都府,498,367,0,15,NA,2014-10-16
JP-27,大阪府,679,185,0,30,NA,2014-10-16
JP-28,兵庫県,632,274,0,27,NA,2014-10-16
JP-29,奈良県,77,83,0,18,NA,2014-10-16
JP-30,和歌山県,63,32,0,12,NA,2014-10-16
JP-31,鳥取県,123,51,0,12,NA,2014-10-16
JP-32,島根県,70,23,3,11,NA,2014-10-16
JP-33,岡山県,752,365,0,18,NA,2014-10-16
JP-34,広島県,267,198,1,15,NA,2014-10-16
JP-35,山口県,88,41,0,10,NA,2014-10-16
JP-36,徳島県,36,30,0,12,NA,2014-10-16
JP-37,香川県,75,16,0,7,NA,2014-10-16
JP-38,愛媛県,41,139,2,11,NA,2014-10-16
JP-39,高知県,49,43,0,12,NA,2014-10-16
JP-40,福岡県,555,147,0,39,NA,2014-10-16
JP-41,佐賀県,152,22,0,9,NA,2014-10-16
JP-42,長崎県,92,35,0,10,NA,2014-10-16
JP-43,熊本県,275,88,0,18,NA,2014-10-16
JP-44,大分県,198,30,1,15,NA,2014-10-16
JP-45,宮崎県,176,56,0,11,NA,2014-10-16
JP-46,鹿児島県,137,64,1,23,NA,2014-10-16
JP-47,沖縄県,815,37,5,31,NA,2014-10-16
