ISO 3166-2コード,所在都道府県,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,所在判明市区町村数,注釈,年月日
JP-01,北海道,2167,526,2695,89,NA,2014-03-13
JP-02,青森県,338,411,763,23,NA,2014-03-13
JP-03,岩手県,34139,350,34494,29,※1,2014-03-13
JP-04,宮城県,87473,1097,88575,35,※1,2014-03-13
JP-05,秋田県,630,454,1084,20,NA,2014-03-13
JP-06,山形県,5331,569,5982,32,NA,2014-03-13
JP-07,福島県,84221,NA,84221,47,※1,2014-03-13
JP-08,茨城県,4177,658,4878,42,NA,2014-03-13
JP-09,栃木県,2292,624,3024,25,NA,2014-03-13
JP-10,群馬県,1166,235,1529,26,NA,2014-03-13
JP-11,埼玉県,2888,0,2888,54,NA,2014-03-13
JP-12,千葉県,565,3399,3965,45,NA,2014-03-13
JP-13,東京都,5977,1923,7933,55,NA,2014-03-13
JP-14,神奈川県,2352,0,2352,24,※1,2014-03-13
JP-15,新潟県,4467,199,4726,28,NA,2014-03-13
JP-16,富山県,218,63,284,10,NA,2014-03-13
JP-17,石川県,328,57,389,11,NA,2014-03-13
JP-18,福井県,217,45,262,13,NA,2014-03-13
JP-19,山梨県,595,130,725,21,NA,2014-03-13
JP-20,長野県,1012,156,1168,42,NA,2014-03-13
JP-21,岐阜県,207,110,317,25,NA,2014-03-13
JP-22,静岡県,779,303,1087,30,NA,2014-03-13
JP-23,愛知県,1037,172,1209,44,NA,2014-03-13
JP-24,三重県,394,95,489,15,NA,2014-03-13
JP-25,滋賀県,101,198,299,14,NA,2014-03-13
JP-26,京都府,602,326,928,16,NA,2014-03-13
JP-27,大阪府,754,185,939,30,NA,2014-03-13
JP-28,兵庫県,640,276,916,26,NA,2014-03-13
JP-29,奈良県,77,89,166,16,NA,2014-03-13
JP-30,和歌山県,63,37,100,12,NA,2014-03-13
JP-31,鳥取県,131,52,183,11,NA,2014-03-13
JP-32,島根県,90,28,120,13,NA,2014-03-13
JP-33,岡山県,730,330,1060,19,NA,2014-03-13
JP-34,広島県,270,196,467,15,NA,2014-03-13
JP-35,山口県,104,44,148,12,NA,2014-03-13
JP-36,徳島県,42,31,73,12,NA,2014-03-13
JP-37,香川県,81,13,94,7,NA,2014-03-13
JP-38,愛媛県,44,139,185,11,NA,2014-03-13
JP-39,高知県,57,49,106,13,NA,2014-03-13
JP-40,福岡県,562,138,700,37,NA,2014-03-13
JP-41,佐賀県,183,24,207,9,NA,2014-03-13
JP-42,長崎県,91,52,143,10,NA,2014-03-13
JP-43,熊本県,289,108,397,21,NA,2014-03-13
JP-44,大分県,209,44,254,15,NA,2014-03-13
JP-45,宮崎県,166,70,236,11,NA,2014-03-13
JP-46,鹿児島県,153,77,231,25,NA,2014-03-13
JP-47,沖縄県,911,51,967,30,NA,2014-03-13
